DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7112025,0,41.28319996530605,-123.3432505218995,1013.9,31.4,10.7,29.5,271,14.4,0.0,28
7112025,1,41.28319996530605,-123.3432505218995,1013.6,31.5,10.3,30.0,304,10.9,0.0,27
7112025,2,41.28319996530605,-123.3432505218995,1012.9,30.3,11.3,28.9,331,11.9,0.0,31
7112025,3,41.28319996530605,-123.3432505218995,1012.9,28.0,12.4,27.0,332,12.2,0.0,38
7112025,4,41.28319996530605,-123.3432505218995,1013.1,26.0,12.4,25.1,332,11.4,0.0,43
7112025,5,41.28319996530605,-123.3432505218995,1013.7,24.0,12.0,23.2,344,9.3,0.0,47
7112025,6,41.28319996530605,-123.3432505218995,1013.7,23.6,10.3,22.3,358,9.4,0.0,43
7112025,7,41.28319996530605,-123.3432505218995,1013.5,23.0,9.1,21.5,2,9.0,0.0,41
7112025,8,41.28319996530605,-123.3432505218995,1013.3,22.2,7.6,21.1,45,3.1,0.0,39
7112025,9,41.28319996530605,-123.3432505218995,1013.1,21.0,8.3,20.0,135,4.1,0.0,44
7112025,10,41.28319996530605,-123.3432505218995,1012.9,20.2,7.9,18.8,128,6.4,0.0,45
7112025,11,41.28319996530605,-123.3432505218995,1012.5,20.1,5.7,18.0,27,7.2,0.0,39
7112025,12,41.28319996530605,-123.3432505218995,1012.7,19.4,4.3,17.5,6,3.6,0.0,37
7112025,13,41.28319996530605,-123.3432505218995,1012.9,17.5,6.3,15.7,126,6.2,0.0,48
7112025,14,41.28319996530605,-123.3432505218995,1013.0,18.5,8.4,16.7,110,9.6,0.0,52
7112025,15,41.28319996530605,-123.3432505218995,1013.1,22.1,10.9,21.6,115,5.2,0.0,49
7112025,16,41.28319996530605,-123.3432505218995,1013.1,24.7,12.3,24.7,287,4.9,0.0,46
7112025,17,41.28319996530605,-123.3432505218995,1012.7,26.9,12.9,27.1,301,7.6,0.0,42
7112025,18,41.28319996530605,-123.3432505218995,1012.5,29.4,11.9,30.0,283,8.1,0.0,34
7112025,19,41.28319996530605,-123.3432505218995,1012.4,31.7,9.8,32.5,291,6.2,0.0,26
7112025,20,41.28319996530605,-123.3432505218995,1011.9,33.4,10.1,34.5,285,8.2,0.0,24
7112025,21,41.28319996530605,-123.3432505218995,1011.6,34.4,10.3,35.4,292,9.7,0.0,23
7112025,22,41.28319996530605,-123.3432505218995,1011.1,34.8,11.3,34.9,285,14.1,0.0,24
7112025,23,41.28319996530605,-123.3432505218995,1010.7,33.8,11.1,32.9,291,13.1,0.0,25
7112025,24,41.28319996530605,-123.3432505218995,1010.3,33.5,10.8,31.9,286,13.1,0.0,25
