DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7172025,0,40.8390480000008,-122.10483800000199,1007.4,32.2,4.1,29.0,225,16.8,0.0,17
7172025,1,40.8390480000008,-122.10483800000199,1007.1,31.7,2.8,27.8,221,15.3,0.0,16
7172025,2,40.8390480000008,-122.10483800000199,1006.9,30.7,2.8,27.2,220,12.8,0.0,17
7172025,3,40.8390480000008,-122.10483800000199,1007.1,28.6,4.8,25.7,221,11.0,0.0,22
7172025,4,40.8390480000008,-122.10483800000199,1007.8,25.4,9.2,23.7,213,9.9,0.0,36
7172025,5,40.8390480000008,-122.10483800000199,1008.8,23.4,11.1,22.2,207,10.5,0.0,46
7172025,6,40.8390480000008,-122.10483800000199,1009.0,22.1,11.8,21.6,225,7.1,0.0,52
7172025,7,40.8390480000008,-122.10483800000199,1009.3,20.5,11.4,20.6,207,2.4,0.0,56
7172025,8,40.8390480000008,-122.10483800000199,1009.4,19.1,10.9,19.1,90,2.2,0.0,59
7172025,9,40.8390480000008,-122.10483800000199,1010.1,18.7,10.2,18.1,77,4.8,0.0,58
7172025,10,40.8390480000008,-122.10483800000199,1010.1,17.2,8.1,15.9,53,5.4,0.0,55
7172025,11,40.8390480000008,-122.10483800000199,1010.0,16.7,7.0,14.3,25,11.1,0.0,53
7172025,12,40.8390480000008,-122.10483800000199,1010.2,16.3,6.4,13.8,21,10.8,0.0,52
7172025,13,40.8390480000008,-122.10483800000199,1010.4,15.8,6.3,13.4,22,10.5,0.0,53
7172025,14,40.8390480000008,-122.10483800000199,1010.7,17.3,7.3,15.4,18,8.0,0.0,52
7172025,15,40.8390480000008,-122.10483800000199,1011.0,20.7,9.0,19.7,351,4.7,0.0,47
7172025,16,40.8390480000008,-122.10483800000199,1011.2,23.3,10.0,22.8,291,3.1,0.0,43
7172025,17,40.8390480000008,-122.10483800000199,1011.1,25.6,10.3,25.4,262,5.4,0.0,38
7172025,18,40.8390480000008,-122.10483800000199,1011.1,27.3,10.0,27.5,234,8.0,0.0,34
7172025,19,40.8390480000008,-122.10483800000199,1010.9,29.2,9.8,29.7,229,10.0,0.0,30
7172025,20,40.8390480000008,-122.10483800000199,1010.4,30.4,8.1,30.1,228,14.0,0.0,25
7172025,21,40.8390480000008,-122.10483800000199,1009.9,31.3,8.3,30.8,221,15.8,0.0,24
7172025,22,40.8390480000008,-122.10483800000199,1009.5,31.7,7.4,30.7,227,15.8,0.0,22
7172025,23,40.8390480000008,-122.10483800000199,1009.5,32.3,5.0,30.0,224,17.1,0.0,18
7172025,24,40.8390480000008,-122.10483800000199,1008.9,31.8,3.7,28.7,221,15.3,0.0,17
