DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8022016,0,40.96,-106.53,1007.8,15.2,2.8,9.5,176.6,3.9,0,43.3058963
8022016,1,40.96,-106.53,1007.7,14.8,2,9.3,165.8,4.9,0,41.97341085
8022016,2,40.96,-106.53,1008.9,13.7,2.3,9.2,172.5,7.3,0,46.04301801
8022016,3,40.96,-106.53,1009.9,13,1.2,8.8,167.6,7.1,0,44.54116964
8022016,4,40.96,-106.53,1010.1,12.5,0.8,8.6,167.1,7.4,0,44.71538691
8022016,5,40.96,-106.53,1011.8,11.9,2.5,8.4,162.1,6.8,0,52.53972976
8022016,6,40.96,-106.53,1011.2,11.2,2.5,9.2,163.6,7,0,55.02689611
8022016,7,40.96,-106.53,1011.3,12.1,2.3,9.2,166.5,6.6,0,51.11923753
8022016,8,40.96,-106.53,1010.3,14.9,2.8,9,177.9,7.4,0,44.14881361
8022016,9,40.96,-106.53,1009.6,18.8,3.2,9.3,175.7,7.3,0,35.47470549
8022016,10,40.96,-106.53,1010.3,21.5,2.8,8.7,179,4.6,0,29.18848849
8022016,11,40.96,-106.53,1010,23.7,1.3,8.8,171.6,5.3,0,22.95105376
8022016,12,40.96,-106.53,1008.2,24.7,-2.1,9.5,233.9,7.6,0,16.87198475
8022016,13,40.96,-106.53,1006.1,25.4,-2.5,9.9,238.5,7,0,15.71163275
8022016,14,40.96,-106.53,1004.6,26.3,-1.3,10.7,245.9,3.7,0,16.27785795
8022016,15,40.96,-106.53,1003.4,26.8,-1.4,11.3,267.1,9.8,0,15.69063696
8022016,16,40.96,-106.53,1003.3,26.6,-0.7,11.4,257.3,7.2,0,16.7118311
8022016,17,40.96,-106.53,1002.9,25.9,-1.2,11.1,283.4,8.9,0,16.78931757
8022016,18,40.96,-106.53,1004.4,25.3,-2.5,11.3,251.9,3.6,0,15.80511727
8022016,19,40.96,-106.53,1005.2,22.7,3.1,10.3,161.1,11.2,0,27.71732491
8022016,20,40.96,-106.53,1008,20.5,4.2,9.2,173.2,8.8,0.22,34.25709009
8022016,21,40.96,-106.53,1007.7,18,3.3,9.3,188.1,6.1,0,37.5607832
8022016,22,40.96,-106.53,1007.5,17.1,2.8,9.4,177.7,6.6,0,38.3691464
8022016,23,40.96,-106.53,1007.5,15.5,3.1,9.3,163.6,7.4,0,43.39402485
8022016,24,40.96,-106.53,1007.820833,19.0875,1.304166667,9.6125,195.3208333,6.8125,0.009166667,30.43938332
