DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7252025,0,36.261082772343656,-112.05840801197499,1009.8,20.2,-10.1,14.1,256,19.3,0.0,12
7252025,1,36.261082772343656,-112.05840801197499,1009.1,20.3,-10.1,14.4,256,18.2,0.0,12
7252025,2,36.261082772343656,-112.05840801197499,1009.0,18.7,-10.4,13.3,246,14.2,0.0,13
7252025,3,36.261082772343656,-112.05840801197499,1009.6,16.8,-10.9,11.9,250,10.4,0.0,14
7252025,4,36.261082772343656,-112.05840801197499,1010.1,14.9,-11.5,10.0,294,10.6,0.0,15
7252025,5,36.261082772343656,-112.05840801197499,1010.9,13.1,-13.0,8.3,317,9.4,0.0,15
7252025,6,36.261082772343656,-112.05840801197499,1011.5,11.9,-13.2,7.2,306,8.5,0.0,16
7252025,7,36.261082772343656,-112.05840801197499,1011.7,11.0,-10.0,6.1,297,11.3,0.0,22
7252025,8,36.261082772343656,-112.05840801197499,1011.9,9.6,-8.1,4.7,310,11.8,0.0,28
7252025,9,36.261082772343656,-112.05840801197499,1012.0,8.8,-7.5,3.9,316,12.5,0.0,31
7252025,10,36.261082772343656,-112.05840801197499,1012.2,8.5,-8.6,3.9,321,9.7,0.0,29
7252025,11,36.261082772343656,-112.05840801197499,1013.1,7.9,-10.0,2.9,339,12.3,0.0,27
7252025,12,36.261082772343656,-112.05840801197499,1013.3,7.8,-10.1,2.9,356,11.2,0.0,27
7252025,13,36.261082772343656,-112.05840801197499,1013.3,7.0,-11.3,2.5,3,7.6,0.0,26
7252025,14,36.261082772343656,-112.05840801197499,1013.2,10.4,-9.3,6.2,336,7.1,0.0,24
7252025,15,36.261082772343656,-112.05840801197499,1013.8,15.4,-6.9,11.1,243,8.9,0.0,21
7252025,16,36.261082772343656,-112.05840801197499,1013.7,17.0,-4.9,11.8,204,18.5,0.0,22
7252025,17,36.261082772343656,-112.05840801197499,1013.3,17.7,-4.9,13.2,199,19.5,0.0,21
7252025,18,36.261082772343656,-112.05840801197499,1012.9,19.0,-5.2,14.2,216,25.3,0.0,19
7252025,19,36.261082772343656,-112.05840801197499,1011.6,20.0,-5.9,15.5,214,24.4,0.0,17
7252025,20,36.261082772343656,-112.05840801197499,1010.3,19.9,-9.4,14.1,228,27.8,0.0,13
7252025,21,36.261082772343656,-112.05840801197499,1009.1,20.2,-9.1,14.9,224,22.1,0.0,13
7252025,22,36.261082772343656,-112.05840801197499,1008.0,20.4,-11.1,14.7,231,21.0,0.0,11
7252025,23,36.261082772343656,-112.05840801197499,1007.1,20.1,-10.3,13.8,233,20.3,0.0,12
7252025,24,36.261082772343656,-112.05840801197499,1006.4,19.9,-9.4,13.9,233,19.3,0.0,13
