DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7252025,0,48.66494427400005,-120.7950928075,1011.8,16.9,11.2,15.2,300,17.9,0.0,69
7252025,1,48.66494427400005,-120.7950928075,1011.6,15.9,9.4,13.2,301,17.3,0.0,65
7252025,2,48.66494427400005,-120.7950928075,1011.7,14.6,8.7,12.2,305,14.0,0.0,68
7252025,3,48.66494427400005,-120.7950928075,1011.1,12.7,8.6,10.5,320,12.3,0.0,76
7252025,4,48.66494427400005,-120.7950928075,1011.4,10.7,6.3,8.0,328,12.3,0.0,74
7252025,5,48.66494427400005,-120.7950928075,1011.5,9.8,5.0,6.6,325,14.0,0.0,72
7252025,6,48.66494427400005,-120.7950928075,1011.3,9.6,3.6,6.1,324,14.2,0.0,66
7252025,7,48.66494427400005,-120.7950928075,1011.4,8.9,2.4,4.9,326,15.3,0.0,64
7252025,8,48.66494427400005,-120.7950928075,1011.0,8.4,1.7,4.3,332,15.5,0.0,63
7252025,9,48.66494427400005,-120.7950928075,1010.6,8.0,2.9,4.2,329,14.7,0.0,70
7252025,10,48.66494427400005,-120.7950928075,1010.4,7.9,2.3,4.3,320,12.8,0.0,68
7252025,11,48.66494427400005,-120.7950928075,1010.8,7.5,2.0,3.7,328,14.1,0.0,68
7252025,12,48.66494427400005,-120.7950928075,1010.8,7.6,1.6,3.6,332,14.3,0.0,66
7252025,13,48.66494427400005,-120.7950928075,1010.9,6.7,1.2,2.5,334,15.6,0.0,68
7252025,14,48.66494427400005,-120.7950928075,1011.3,7.2,1.9,3.7,327,11.2,0.0,69
7252025,15,48.66494427400005,-120.7950928075,1011.6,8.4,3.8,5.8,313,7.9,0.0,73
7252025,16,48.66494427400005,-120.7950928075,1012.1,8.9,5.1,6.6,307,7.7,0.0,77
7252025,17,48.66494427400005,-120.7950928075,1011.8,9.9,6.6,7.5,288,10.6,0.0,80
7252025,18,48.66494427400005,-120.7950928075,1012.0,11.2,7.5,9.0,304,10.9,0.0,78
7252025,19,48.66494427400005,-120.7950928075,1012.6,11.6,8.1,10.1,299,11.9,0.0,79
7252025,20,48.66494427400005,-120.7950928075,1012.5,11.9,7.8,10.7,300,14.2,0.0,76
7252025,21,48.66494427400005,-120.7950928075,1012.5,12.1,8.0,11.2,299,14.0,0.0,76
7252025,22,48.66494427400005,-120.7950928075,1012.0,12.3,8.2,11.1,293,16.0,0.0,76
7252025,23,48.66494427400005,-120.7950928075,1012.1,11.8,7.7,10.0,305,17.1,0.0,76
7252025,24,48.66494427400005,-120.7950928075,1011.8,11.3,7.2,8.7,307,17.2,0.0,76
