DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7252025,0,36.32984875098755,-106.74366668480499,1010.8,19.4,7.5,15.7,102,21.0,0.0,46
7252025,1,36.32984875098755,-106.74366668480499,1010.4,20.3,5.2,16.0,121,21.8,0.0,37
7252025,2,36.32984875098755,-106.74366668480499,1009.9,19.6,4.9,15.7,116,18.4,0.0,38
7252025,3,36.32984875098755,-106.74366668480499,1010.5,17.5,7.0,13.5,114,22.4,0.0,50
7252025,4,36.32984875098755,-106.74366668480499,1011.7,16.2,6.4,12.3,121,20.5,0.0,52
7252025,5,36.32984875098755,-106.74366668480499,1012.1,15.9,5.5,11.6,132,22.2,0.0,50
7252025,6,36.32984875098755,-106.74366668480499,1012.1,15.2,5.7,10.6,138,23.7,0.0,53
7252025,7,36.32984875098755,-106.74366668480499,1012.2,15.5,4.9,10.6,137,25.2,0.0,49
7252025,8,36.32984875098755,-106.74366668480499,1012.1,15.0,5.2,11.2,137,18.3,0.0,52
7252025,9,36.32984875098755,-106.74366668480499,1012.0,14.4,4.1,11.3,133,11.7,0.0,50
7252025,10,36.32984875098755,-106.74366668480499,1011.8,14.5,3.0,11.5,133,9.4,0.0,46
7252025,11,36.32984875098755,-106.74366668480499,1011.5,13.4,3.2,10.1,118,11.4,0.0,50
7252025,12,36.32984875098755,-106.74366668480499,1012.1,12.7,3.7,9.5,111,12.0,0.0,54
7252025,13,36.32984875098755,-106.74366668480499,1012.6,13.2,4.6,9.8,116,14.8,0.0,56
7252025,14,36.32984875098755,-106.74366668480499,1013.4,15.0,5.8,12.1,114,13.0,0.0,54
7252025,15,36.32984875098755,-106.74366668480499,1013.4,16.6,6.7,14.6,107,7.5,0.0,52
7252025,16,36.32984875098755,-106.74366668480499,1013.2,19.5,6.6,18.6,293,4.7,0.0,43
7252025,17,36.32984875098755,-106.74366668480499,1011.8,21.5,5.0,20.7,275,8.3,0.0,34
7252025,18,36.32984875098755,-106.74366668480499,1010.7,22.9,1.8,21.3,256,13.4,0.0,25
7252025,19,36.32984875098755,-106.74366668480499,1009.2,24.2,-0.2,22.9,265,12.3,0.0,20
7252025,20,36.32984875098755,-106.74366668480499,1007.3,25.1,-1.7,22.8,272,16.9,0.0,17
7252025,21,36.32984875098755,-106.74366668480499,1006.3,25.8,-1.9,23.1,292,17.4,0.0,16
7252025,22,36.32984875098755,-106.74366668480499,1005.5,25.4,-2.2,22.9,273,13.3,0.0,16
7252025,23,36.32984875098755,-106.74366668480499,1005.0,26.5,-5.2,22.2,259,16.9,0.0,12
7252025,24,36.32984875098755,-106.74366668480499,1003.8,25.4,-7.2,19.6,296,19.2,0.0,11
